Assessment Name,URL,Description,Duration,Remote Testing,Adaptive/IRT,Test Type,Job Level,Cleaned Description,cleaned_full_text
Home Health Aide Solution,https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/,"The Home Health Aide solution is for entry-level positions in an in-home or group home environment.  Sample tasks for this job include, but are not limited to: monitoring vital signs and medication intake, administering bedside and personal care such as ambulation and personal hygiene, and preparing and maintaining records of patient progress and services performed.  Potential job titles that use this solution are: Personal Care Aide, Home Health Aide, Residential Assistant, and Certified Nursing Assistant. There are multiple configurations and versions of this solution available.",41,No,Yes,"A, B, P","Entry-Level,",home health aide solution entrylevel position inhome group home environment sample task job include limited monitoring vital sign medication intake administering bedside personal care ambulation personal hygiene preparing maintaining record patient progress service performed potential job title use solution personal care aide home health aide residential assistant certified nursing assistant multiple configuration version solution available,Home Health Aide Solution. home health aide solution entrylevel position inhome group home environment sample task job include limited monitoring vital sign medication intake administering bedside personal care ambulation personal hygiene preparing maintaining record patient progress service performed potential job title use solution personal care aide home health aide residential assistant certified nursing assistant multiple configuration version solution available
Hospitality Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/,"The Hospitality Manager solution is designed for management level positions in the hospitality industry. Sample tasks include overall property management, managing staff and managing the guest experience. The solution is focused on managing business operations, managing staff, solving problems, making good decisions and maintaining focus on the customer. Potential job titles that use this solution are: Property Manager, Property Director, Hotel Manager and Hospitality Manager. Multiple configurations of this solution are available.",57,No,Yes,"A, B, K, P","Front Line Manager, Manager, Supervisor,",hospitality manager solution designed management level position hospitality industry sample task include overall property management managing staff managing guest experience solution focused managing business operation managing staff solving problem making good decision maintaining focus customer potential job title use solution property manager property director hotel manager hospitality manager multiple configuration solution available,Hospitality Manager Solution. hospitality manager solution designed management level position hospitality industry sample task include overall property management managing staff managing guest experience solution focused managing business operation managing staff solving problem making good decision maintaining focus customer potential job title use solution property manager property director hotel manager hospitality manager multiple configuration solution available
Host Solution,https://www.shl.com/solutions/products/product-catalog/view/host-solution/,"The Host solution is designed for entry level positions in the hospitality industry. Sample tasks include greeting guests, managing wait lists and showing guests to their tables. The solution is focused on work ethic and customer focus. Potential job titles that use this solution are: Host, Hostess and Greeter. There are multiple configurations and versions of this solution available.",30,No,Yes,"B, P","Entry-Level,",host solution designed entry level position hospitality industry sample task include greeting guest managing wait list showing guest table solution focused work ethic customer focus potential job title use solution host hostess greeter multiple configuration version solution available,Host Solution. host solution designed entry level position hospitality industry sample task include greeting guest managing wait list showing guest table solution focused work ethic customer focus potential job title use solution host hostess greeter multiple configuration version solution available
Industrial - Entry Level 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/,"Our Industrial – Entry Level 7.0 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. The solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough.
Potential job titles that use this solution include: Laborer, Custodians, Building and Grounds Maintenance Workers, Handyman.
Report Language Availability: English (USA), Latin American Spanish.",20,No,No,B,"Entry-Level,",industrial entry level solution designed entrylevel position measure behavior experience underlie successful safe performance general light industrial role solution cover wide variety entrylevel position assesses behavior including following policy procedure general facility upkeep producing high quality work maintaining orderly work environment wearing required protective equipment thorough potential job title use solution include laborer custodian building ground maintenance worker handyman report language availability english usa latin american spanish,Industrial - Entry Level 7.0 Solution. industrial entry level solution designed entrylevel position measure behavior experience underlie successful safe performance general light industrial role solution cover wide variety entrylevel position assesses behavior including following policy procedure general facility upkeep producing high quality work maintaining orderly work environment wearing required protective equipment thorough potential job title use solution include laborer custodian building ground maintenance worker handyman report language availability english usa latin american spanish
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,"Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. The solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough.
Potential job titles that use this solution include: Laborer, Custodians, Building and Grounds Maintenance Workers, Handyman.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".",20,No,No,B,"Entry-Level,",industrial entry level solution designed entrylevel position measure behavior experience underlie successful safe performance general light industrial role solution cover wide variety entrylevel position assesses behavior including following policy procedure general facility upkeep producing high quality work maintaining orderly work environment wearing required protective equipment thorough potential job title use solution include laborer custodian building ground maintenance worker handyman important please note need select correct package depending norm intend use package available product international america,Industrial - Entry Level 7.1 (Americas). industrial entry level solution designed entrylevel position measure behavior experience underlie successful safe performance general light industrial role solution cover wide variety entrylevel position assesses behavior including following policy procedure general facility upkeep producing high quality work maintaining orderly work environment wearing required protective equipment thorough potential job title use solution include laborer custodian building ground maintenance worker handyman important please note need select correct package depending norm intend use package available product international america
Industrial - Entry Level 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,"Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. The solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough.
Potential job titles that use this solution include: Laborer, Custodians, Building and Grounds Maintenance Workers, Handyman.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".",20,No,No,B,"Entry-Level,",industrial entry level solution designed entrylevel position measure behavior experience underlie successful safe performance general light industrial role solution cover wide variety entrylevel position assesses behavior including following policy procedure general facility upkeep producing high quality work maintaining orderly work environment wearing required protective equipment thorough potential job title use solution include laborer custodian building ground maintenance worker handyman important please note need select correct package depending norm intend use package available product international america,Industrial - Entry Level 7.1 (International). industrial entry level solution designed entrylevel position measure behavior experience underlie successful safe performance general light industrial role solution cover wide variety entrylevel position assesses behavior including following policy procedure general facility upkeep producing high quality work maintaining orderly work environment wearing required protective equipment thorough potential job title use solution include laborer custodian building ground maintenance worker handyman important please note need select correct package depending norm intend use package available product international america
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,"Our Industrial – Professional and Skilled 7.0 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. 
This solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work.
Report Language Availability: English (USA), Latin American Spanish.",49,No,Yes,"A, B","Entry-Level,",industrial professional skilled solution designed measure behavior experience underlie successful safe performance workplace specialized technical professional industrial role solution assesses mechanical comprehension foundational behavior including behaving safely efficiently workplace installing repairing andor maintaining equipment machinery making sound mechanical decision maintaining orderly work environment producing high quality reliable work report language availability english usa latin american spanish,Industrial - Professional and Skilled 7.0 Solution. industrial professional skilled solution designed measure behavior experience underlie successful safe performance workplace specialized technical professional industrial role solution assesses mechanical comprehension foundational behavior including behaving safely efficiently workplace installing repairing andor maintaining equipment machinery making sound mechanical decision maintaining orderly work environment producing high quality reliable work report language availability english usa latin american spanish
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,"Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. The solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. 
Potential job titles that use this solution include: Production and Assembly Worker, Construction Worker, Extraction Technician.Please note this package is in Americas norm.",24,No,No,B,"Entry-Level,",industrial semiskilled solution designed entrylevel position measure behavior experience underlie successful safe performance production worker solution assesses behavior competency foundational industrial role including following policy procedure applying relevant trade skill wearing required protective equipment working monitoring equipment producing high quality work effectively working others maintaining orderly work environment potential job title use solution include production assembly worker construction worker extraction technicianplease note package america norm,Industrial - Semi-skilled 7.1 (Americas). industrial semiskilled solution designed entrylevel position measure behavior experience underlie successful safe performance production worker solution assesses behavior competency foundational industrial role including following policy procedure applying relevant trade skill wearing required protective equipment working monitoring equipment producing high quality work effectively working others maintaining orderly work environment potential job title use solution include production assembly worker construction worker extraction technicianplease note package america norm
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,"Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. The solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. 
Potential job titles that use this solution include: Production and Assembly Worker, Construction Worker, Extraction Technician.Please note this package is in International norm.",24,No,No,B,"Entry-Level,",industrial semiskilled solution designed entrylevel position measure behavior experience underlie successful safe performance production worker solution assesses behavior competency foundational industrial role including following policy procedure applying relevant trade skill wearing required protective equipment working monitoring equipment producing high quality work effectively working others maintaining orderly work environment potential job title use solution include production assembly worker construction worker extraction technicianplease note package international norm,Industrial - Semi-skilled 7.1 (International). industrial semiskilled solution designed entrylevel position measure behavior experience underlie successful safe performance production worker solution assesses behavior competency foundational industrial role including following policy procedure applying relevant trade skill wearing required protective equipment working monitoring equipment producing high quality work effectively working others maintaining orderly work environment potential job title use solution include production assembly worker construction worker extraction technicianplease note package international norm
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,"Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. 
This solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work.“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".",49,No,No,"A, B","Entry-Level,",industrial professional skilled solution designed measure behavior experience underlie successful safe performance workplace specialized technical professional industrial role solution assesses mechanical comprehension foundational behavior including behaving safely efficiently workplace installing repairing andor maintaining equipment machinery making sound mechanical decision maintaining orderly work environment producing high quality reliable workimportant please note need select correct package depending norm intend use package available product international america,Industrial Professional and Skilled 7.1 (Americas). industrial professional skilled solution designed measure behavior experience underlie successful safe performance workplace specialized technical professional industrial role solution assesses mechanical comprehension foundational behavior including behaving safely efficiently workplace installing repairing andor maintaining equipment machinery making sound mechanical decision maintaining orderly work environment producing high quality reliable workimportant please note need select correct package depending norm intend use package available product international america
Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,"Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. 
This solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work.“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".",49,No,No,"A, B","Entry-Level,",industrial professional skilled solution designed measure behavior experience underlie successful safe performance workplace specialized technical professional industrial role solution assesses mechanical comprehension foundational behavior including behaving safely efficiently workplace installing repairing andor maintaining equipment machinery making sound mechanical decision maintaining orderly work environment producing high quality reliable workimportant please note need select correct package depending norm intend use package available product international america,Industrial Professional and Skilled 7.1 Solution. industrial professional skilled solution designed measure behavior experience underlie successful safe performance workplace specialized technical professional industrial role solution assesses mechanical comprehension foundational behavior including behaving safely efficiently workplace installing repairing andor maintaining equipment machinery making sound mechanical decision maintaining orderly work environment producing high quality reliable workimportant please note need select correct package depending norm intend use package available product international america
Installation and Repair Technician Solution,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,"The Installation and Repair Technician solution is designed for use with entry-level field technician positions in the telecommunications industry. The solution is focused on positions that involve installing, repairing, and maintaining telecommunications equipment, along with some customer interaction, and little to no specific sales components. Sample tasks may include: installing or repairing end-user telecommunications equipment and services, interacting with customers, and installing, or repairing telecommunications network infrastructure. Potential job titles that use this solution are: Installer, Service Technician, and Customer Installation Technician. There are multiple configurations of this solution available.",49,No,Yes,"A, B, P, S","Professional Individual Contributor,",installation repair technician solution designed use entrylevel field technician position telecommunication industry solution focused position involve installing repairing maintaining telecommunication equipment along customer interaction little specific sale component sample task may include installing repairing enduser telecommunication equipment service interacting customer installing repairing telecommunication network infrastructure potential job title use solution installer service technician customer installation technician multiple configuration solution available,Installation and Repair Technician Solution. installation repair technician solution designed use entrylevel field technician position telecommunication industry solution focused position involve installing repairing maintaining telecommunication equipment along customer interaction little specific sale component sample task may include installing repairing enduser telecommunication equipment service interacting customer installing repairing telecommunication network infrastructure potential job title use solution installer service technician customer installation technician multiple configuration solution available
Insurance Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,"The Insurance Account Manager solution is for mid-level insurance professionals that manage the day-to-day operations and activities of customer accounts.  Sample tasks for this job include, but are not limited to: soliciting sales of new or additional products or services; interacting with customers to provide information in response to inquiries about products and services and to handle and resolve complaints; keeping records of customer interactions and transactions; resolving customers' service or billing complaints; determining charges for services requested; collecting deposits or payments; and arranging for billing.  Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager.  Multiple configurations of this solution are available.",48,No,Yes,"A, B, P, S","Mid-Professional,",insurance account manager solution midlevel insurance professional manage daytoday operation activity customer account sample task job include limited soliciting sale new additional product service interacting customer provide information response inquiry product service handle resolve complaint keeping record customer interaction transaction resolving customer service billing complaint determining charge service requested collecting deposit payment arranging billing potential job title use solution account executive account manager senior account manager multiple configuration solution available,Insurance Account Manager Solution. insurance account manager solution midlevel insurance professional manage daytoday operation activity customer account sample task job include limited soliciting sale new additional product service interacting customer provide information response inquiry product service handle resolve complaint keeping record customer interaction transaction resolving customer service billing complaint determining charge service requested collecting deposit payment arranging billing potential job title use solution account executive account manager senior account manager multiple configuration solution available
Insurance Administrative Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for this job include, but are not limited to: answering telephones; managing files and records; sorting mail; handling information requests; greeting customers; and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. Multiple configurations of this solution are available.",24,No,Yes,"A, B, P, S","Entry-Level,",administrative assistant solution entrylevel clerical position interact external internal customer sample task job include limited answering telephone managing file record sorting mail handling information request greeting customer collaborating coworkers project potential job title use solution receptionist administrative assistant multiple configuration solution available,Insurance Administrative Assistant Solution. administrative assistant solution entrylevel clerical position interact external internal customer sample task job include limited answering telephone managing file record sorting mail handling information request greeting customer collaborating coworkers project potential job title use solution receptionist administrative assistant multiple configuration solution available
Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,"The Insurance Agent solution is for mid-level professional positions in the insurance industry that sell property, casualty, automotive, or other types of insurance. Sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suit individual customers; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when claims are made on a policy. Potential job titles that use this solution are: Insurance Sales Professional; Insurance Sales Agent; Producer; Insurance Agent. Multiple configurations of this solution are available.",46,No,Yes,"A, B, P","Mid-Professional,",insurance agent solution midlevel professional position insurance industry sell property casualty automotive type insurance sample task position include limited calling policyholder deliver explain policy suggest addition change calculating premium customizing insurance program suit individual customer ensuring policy requirement fulfilled conferring client obtain provide information claim made policy potential job title use solution insurance sale professional insurance sale agent producer insurance agent multiple configuration solution available,Insurance Agent Solution. insurance agent solution midlevel professional position insurance industry sell property casualty automotive type insurance sample task position include limited calling policyholder deliver explain policy suggest addition change calculating premium customizing insurance program suit individual customer ensuring policy requirement fulfilled conferring client obtain provide information claim made policy potential job title use solution insurance sale professional insurance sale agent producer insurance agent multiple configuration solution available
Insurance Director Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,"The Insurance Director solution is for senior-level management positions in the insurance companies that oversee sales functions across multiple brokerages, offices, or agencies or geographic territories. Sample tasks for this job includes, but is not limited to: directing a group of sales managers or agency managers; having profit and loss responsibility for a district or region; and aligning work with overall company goals. Potential job titles that use this solution are: Regional Managers, Associate Directors, and Managing Directors. Multiple configurations of this solution are available.",49,No,Yes,"A, B, P","Director, Front Line Manager, Manager, Supervisor,",insurance director solution seniorlevel management position insurance company oversee sale function across multiple brokerage office agency geographic territory sample task job includes limited directing group sale manager agency manager profit loss responsibility district region aligning work overall company goal potential job title use solution regional manager associate director managing director multiple configuration solution available,Insurance Director Solution. insurance director solution seniorlevel management position insurance company oversee sale function across multiple brokerage office agency geographic territory sample task job includes limited directing group sale manager agency manager profit loss responsibility district region aligning work overall company goal potential job title use solution regional manager associate director managing director multiple configuration solution available
Insurance Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,"The Sales Manager solution is for entry- to mid-level management positions that involve supervising employees working in an insurance organization and have a substantial portion of their job performance based on sales. Sample tasks for this job include, but are not limited to: planning and preparing work schedules; promoting products to customers; training subordinates; analyzing sales statistics gathered by staff to determine sales potential and monitor preferences of customers; building ongoing customer relationships; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Insurance Sales Manager, Sales Manager, Assistant Sales Manager, and Sales Supervisor. Multiple configurations of this solution are available.",51,No,Yes,"A, B, P, S","Front Line Manager, Manager, Supervisor,",sale manager solution entry midlevel management position involve supervising employee working insurance organization substantial portion job performance based sale sample task job include limited planning preparing work schedule promoting product customer training subordinate analyzing sale statistic gathered staff determine sale potential monitor preference customer building ongoing customer relationship making daytoday decision minimal guidance others potential job title use solution insurance sale manager sale manager assistant sale manager sale supervisor multiple configuration solution available,Insurance Sales Manager Solution. sale manager solution entry midlevel management position involve supervising employee working insurance organization substantial portion job performance based sale sample task job include limited planning preparing work schedule promoting product customer training subordinate analyzing sale statistic gathered staff determine sale potential monitor preference customer building ongoing customer relationship making daytoday decision minimal guidance others potential job title use solution insurance sale manager sale manager assistant sale manager sale supervisor multiple configuration solution available
Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,"The Manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems. Potential job titles that use this solution are: Manager, Store Manager, and Branch Manager.",57,No,Yes,"A, B, K, P, S","Front Line Manager, Manager, Supervisor,",manager solution assessment used job candidate applying entrylevel leadership position tend supervise salaried employee sample task job include limited planning project subordinate collaborating senior manager developing new method procedure coaching employee performancerelated issue developing employee skill coordinating activity manager accomplish organizational goal setting meeting department goal prioritizing multiple task priority making selected strategic daytoday decision solving employee customer problem potential job title use solution manager store manager branch manager,Manager - Short Form. manager solution assessment used job candidate applying entrylevel leadership position tend supervise salaried employee sample task job include limited planning project subordinate collaborating senior manager developing new method procedure coaching employee performancerelated issue developing employee skill coordinating activity manager accomplish organizational goal setting meeting department goal prioritizing multiple task priority making selected strategic daytoday decision solving employee customer problem potential job title use solution manager store manager branch manager
Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,"Our Manager + 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA).",53,No,Yes,"A, B, C","Front Line Manager, Manager,",manager solution designed candidate applying entrylevel leadership position tend supervise salaried employee includes shls new innovative mobilefirst ability assessment verify interactive deductive reasoning sample task job include limited planning project subordinate collaborating senior manager developing new method procedure coaching employee performancerelated issue developing employee skill coordinating activity manager accomplish organizational goal setting meeting department goal prioritizing multiple task priority making selected strategic daytoday decision solving employee customer problem report language availability english usa,Manager + 7.0 Solution. manager solution designed candidate applying entrylevel leadership position tend supervise salaried employee includes shls new innovative mobilefirst ability assessment verify interactive deductive reasoning sample task job include limited planning project subordinate collaborating senior manager developing new method procedure coaching employee performancerelated issue developing employee skill coordinating activity manager accomplish organizational goal setting meeting department goal prioritizing multiple task priority making selected strategic daytoday decision solving employee customer problem report language availability english usa
Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,"Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Canadian French. “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International"".",63,No,Yes,"B, C, P","Director, Executive, Front Line Manager, Manager,",manager solution designed candidate applying entrylevel leadership position tend supervise salaried employee includes shls new innovative mobilefirst ability assessment verify interactive deductive reasoning sample task job include limited planning project subordinate collaborating senior manager developing new method procedure coaching employee performancerelated issue developing employee skill coordinating activity manager accomplish organizational goal setting meeting department goal prioritizing multiple task priority making selected strategic daytoday decision solving employee customer problem report language availability english usa canadian french important please note need select correct package depending norm intend use package available product america international,Manager + 7.1 (Americas). manager solution designed candidate applying entrylevel leadership position tend supervise salaried employee includes shls new innovative mobilefirst ability assessment verify interactive deductive reasoning sample task job include limited planning project subordinate collaborating senior manager developing new method procedure coaching employee performancerelated issue developing employee skill coordinating activity manager accomplish organizational goal setting meeting department goal prioritizing multiple task priority making selected strategic daytoday decision solving employee customer problem report language availability english usa canadian french important please note need select correct package depending norm intend use package available product america international
Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,"Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Canadian French, Brazilian Portuguese, Danish, Dutch, Finnish, Italian, Norwegian, Swedish. “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International"".",63,No,Yes,"B, C, P","Director, Executive, Front Line Manager, Manager,",manager solution designed candidate applying entrylevel leadership position tend supervise salaried employee includes shls new innovative mobilefirst ability assessment verify interactive deductive reasoning sample task job include limited planning project subordinate collaborating senior manager developing new method procedure coaching employee performancerelated issue developing employee skill coordinating activity manager accomplish organizational goal setting meeting department goal prioritizing multiple task priority making selected strategic daytoday decision solving employee customer problem report language availability english usa canadian french brazilian portuguese danish dutch finnish italian norwegian swedish important please note need select correct package depending norm intend use package available product america international,Manager + 7.1 (International). manager solution designed candidate applying entrylevel leadership position tend supervise salaried employee includes shls new innovative mobilefirst ability assessment verify interactive deductive reasoning sample task job include limited planning project subordinate collaborating senior manager developing new method procedure coaching employee performancerelated issue developing employee skill coordinating activity manager accomplish organizational goal setting meeting department goal prioritizing multiple task priority making selected strategic daytoday decision solving employee customer problem report language availability english usa canadian french brazilian portuguese danish dutch finnish italian norwegian swedish important please note need select correct package depending norm intend use package available product america international
Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,"Our Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Latin American Spanish.",35,No,No,"B, C","Manager, Front Line Manager,",manager solution designed candidate applying entrylevel leadership position tend supervise salaried employee sample task job include limited planning project subordinate collaborating senior manager developing new method procedure coaching employee performancerelated issue developing employee skill coordinating activity manager accomplish organizational goal setting meeting department goal prioritizing multiple task priority making selected strategic daytoday decision solving employee customer problem report language availability english usa latin american spanish,Manager 7.0 Solution. manager solution designed candidate applying entrylevel leadership position tend supervise salaried employee sample task job include limited planning project subordinate collaborating senior manager developing new method procedure coaching employee performancerelated issue developing employee skill coordinating activity manager accomplish organizational goal setting meeting department goal prioritizing multiple task priority making selected strategic daytoday decision solving employee customer problem report language availability english usa latin american spanish
Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/,"Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.Report Language Availability: English (USA), Danish, Finnish, Canadian French, Italian, Norwegian, French, German, English International,.  “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International"".",40,No,No,"B, C, P","Executive, Director, Front Line Manager, Manager,",manager solution designed candidate applying entrylevel leadership position tend supervise salaried employee sample task job include limited planning project subordinate collaborating senior manager developing new method procedure coaching employee performancerelated issue developing employee skill coordinating activity manager accomplish organizational goal setting meeting department goal prioritizing multiple task priority making selected strategic daytoday decision solving employee customer problemsreport language availability english usa danish finnish canadian french italian norwegian french german english international important please note need select correct package depending norm intend use package available product international,Manager 7.1 (Americas). manager solution designed candidate applying entrylevel leadership position tend supervise salaried employee sample task job include limited planning project subordinate collaborating senior manager developing new method procedure coaching employee performancerelated issue developing employee skill coordinating activity manager accomplish organizational goal setting meeting department goal prioritizing multiple task priority making selected strategic daytoday decision solving employee customer problemsreport language availability english usa danish finnish canadian french italian norwegian french german english international important please note need select correct package depending norm intend use package available product international
